City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Collingwood,5/22 Stanley St,2,u,515000,S,Peter,18-03-2017,1.6,3066,1,1,816,,,Yarra City Council,-37.802,144.9848,Northern Metropolitan,4553
Berwick,2 Allan St,3,h,1100000,S,Alex,28-10-2017,35.2,3806,2,2,1212,,,Casey City Council,-38.03517,145.36564,Eastern Victoria,17093
Mount Waverley,16 Wadham Pde,5,h,,PI,Harcourts,10-03-2018,14.2,3149,5,3,660,158,1975,Monash City Council,-37.87134,145.12472,Eastern Metropolitan,13366
Wyndham Vale,6 Fatham Dr,4,h,510000,S,hockingstuart,17-03-2018,27.2,3024,2,2,472,168,2010,Wyndham City Council,-37.88102,144.63138,Western Metropolitan,5262
Essendon,2/31 Leslie Rd,2,u,485000,S,Barry,17-06-2017,7.5,3040,1,1,1856,,,Moonee Valley City Council,-37.76,144.91439,Western Metropolitan,9264
Malvern East,4 Batesford Rd,3,h,,S,Fletchers,12-11-2016,11.2,3145,1,1,590,,,Stonnington City Council,-37.8769,145.0864,Southern Metropolitan,8801
Mount Waverley,1/34 Dickson St,4,t,,SN,RW,10-03-2018,14.2,3149,,,,,,Monash City Council,,,Eastern Metropolitan,13366
South Yarra,1/1 Alexandra Av,2,u,1950000,S,Abercromby's,18-11-2017,2.7,3141,,,,,,Melbourne City Council,,,Southern Metropolitan,14887
St Kilda,19 Spenser St,4,h,2200000,S,hockingstuart,14-10-2017,5,3182,1,,,138,1890,Port Phillip City Council,-37.86974,144.97736,Southern Metropolitan,13240
Elwood,2/481 St Kilda St,3,t,1360000,S,hockingstuart,27-05-2017,7.2,3184,2,2,797,175,1997,Port Phillip City Council,-37.8867,144.99141,Southern Metropolitan,8989
Altona North,21 Joel Av,3,h,705000,SP,Village,07-05-2016,11.1,3025,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132
Heidelberg Heights,14 Sackville St,3,h,785000,S,Barry,10-12-2016,10.5,3081,1,0,592,130,1950,Banyule City Council,-37.7477,145.0481,Eastern Metropolitan,2947
Derrimut,10 Oakham Gld,4,h,561000,S,Burnham,06-01-2018,14.7,3030,2,2,,225,2010,Brimbank City Council,-37.79128,144.75792,Western Metropolitan,2276
Brighton East,14a Stone St,4,t,1425000,S,Buxton,07-05-2016,10.7,3187,,,,,,Bayside City Council,,,Southern Metropolitan,6938
Alphington,77A Fulham Rd,3,h,1170000,S,Jellis,09-09-2017,5.7,3078,1,1,268,126,1994,Darebin City Council,-37.7753,145.0267,Northern Metropolitan,2211
Reservoir,39 Botha Av,3,h,,SP,Peter,18-03-2017,11.2,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Ashburton,61 Dent St,4,h,2650000,S,Marshall,03-09-2016,11,3147,3,2,753,399,2015,Boroondara City Council,-37.8669,145.0767,Southern Metropolitan,3052
Hawthorn,710/377 Burwood Rd,2,u,485000,VB,LITTLE,22-05-2016,4.6,3122,1,1,0,76,2005,Boroondara City Council,-37.8226,145.0368,Southern Metropolitan,11308
Pascoe Vale,102/9 Pascoe St,2,u,,SN,Barry,25-02-2017,9.9,3044,1,1,0,,,Moreland City Council,-37.7166,144.9358,Northern Metropolitan,7485
Springvale,5 Sullivan St,3,h,770000,S,Stockdale,24-06-2017,20.8,3171,1,1,606,,,Greater Dandenong City Council,-37.93861,145.15351,South-Eastern Metropolitan,7412
Northcote,57A Derby St,3,h,1382500,SA,Nelson,03-09-2016,5.5,3070,2,2,286,188,2007,Darebin City Council,-37.7708,145.0054,Northern Metropolitan,11364
Brighton,2/66 Well St,4,h,,SP,Marshall,15-10-2016,11.2,3186,3,2,0,,,Bayside City Council,-37.9182,144.9967,Southern Metropolitan,10579
Brunswick West,5/23 McLean St,2,t,612000,S,Jellis,08-07-2017,5.2,3055,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Oak Park,100 Winifred St,3,h,810000,SP,Brad,22-08-2016,11.5,3046,1,3,763,93,1960,Moreland City Council,-37.7178,144.9121,Northern Metropolitan,2651
Fairfield,231 Station St,3,h,1065000,S,Nelson,23-04-2016,5.8,3078,1,2,630,,1930,Darebin City Council,-37.7713,145.0196,Northern Metropolitan,2970
North Melbourne,219 Flemington Rd,4,h,,S,Nelson,19-08-2017,1.8,3051,1,,193,196,1900,Melbourne City Council,-37.79445,144.94786,Northern Metropolitan,6821
Doncaster,27 Buckingham Cr,3,h,1490000,S,Noel,28-10-2017,12.4,3108,1,2,,115,1980,Manningham City Council,-37.77945,145.10869,Eastern Metropolitan,9028
St Kilda,5/18 Princes St,2,u,,S,Biggin,24-06-2017,5,3182,1,1,0,,,Port Phillip City Council,-37.85881,144.98144,Southern Metropolitan,13240
Reservoir,4 Hickford St,3,h,655000,S,Love,18-03-2017,11.2,3073,2,2,456,137,1970,Darebin City Council,-37.7061,145.0308,Northern Metropolitan,21650
South Yarra,303/3 Clara St,1,u,330000,PI,Dingle,30-07-2016,3.3,3141,1,1,0,,2011,Melbourne City Council,-37.8421,144.9978,Southern Metropolitan,14887
Reservoir,114 Spring St,3,h,715000,SA,HAR,25-11-2017,12,3073,1,2,,,,Darebin City Council,-37.7285,145.001,Northern Metropolitan,21650
Fitzroy,35/98 Nicholson St,1,u,810000,S,Nelson,09-12-2017,2.1,3065,,,,,,Yarra City Council,,,Northern Metropolitan,5825
South Yarra,906/700 Chapel St,2,u,666000,S,hockingstuart,15-07-2017,2.7,3141,1,1,0,73,2005,Melbourne City Council,-37.83613,144.99661,Southern Metropolitan,14887
Carrum Downs,13 Rundle Dr,3,h,550000,S,Harcourts,03-03-2018,34.9,3201,2,2,509,117,1998,Frankston City Council,-38.09113,145.19244,South-Eastern Metropolitan,8060
Vermont South,6 Hempstead Av,4,h,,SP,Rounds,01-07-2017,17.2,3133,,,,,,Whitehorse City Council,,,Eastern Metropolitan,4280
Glenroy,87 Daley St,3,h,,PI,Purplebricks,10-02-2018,11.2,3046,1,2,640,141,1950,Moreland City Council,-37.69756,144.9308,Northern Metropolitan,8870
St Kilda,1/12 Charles St,2,u,730000,S,RT,27-05-2017,5,3182,1,0,284,,,Port Phillip City Council,-37.86309,144.98302,Southern Metropolitan,13240
Reservoir,135 Mahoneys Rd,4,h,690000,VB,Ray,18-11-2017,12,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
